runs_remaining,balls_remaining,wickets_remaining,rrr,win
130.0,116,10,6.724137931034483,1
126.0,115,10,6.57391304347826,1
122.0,114,10,6.421052631578948,1
118.0,113,10,6.265486725663717,1
114.0,112,10,6.107142857142857,1
110.0,111,10,5.945945945945946,1
110.0,110,9,6.0,1
110.0,109,9,6.055045871559632,1
109.0,108,9,6.055555555555555,1
109.0,107,9,6.112149532710281,1
109.0,107,9,6.112149532710281,1
105.0,106,9,5.943396226415094,1
105.0,105,9,6.0,1
104.0,104,9,6.0,1
104.0,103,9,6.058252427184466,1
104.0,102,9,6.117647058823529,1
103.0,101,9,6.118811881188119,1
103.0,100,9,6.18,1
99.0,99,9,6.0,1
98.0,98,9,6.0,1
94.0,97,9,5.814432989690721,1
94.0,96,9,5.875,1
94.0,95,9,5.936842105263158,1
93.0,94,9,5.9361702127659575,1
87.0,93,9,5.612903225806452,1
83.0,92,9,5.413043478260869,1
83.0,91,9,5.472527472527473,1
82.0,90,9,5.466666666666667,1
82.0,89,9,5.52808988764045,1
81.0,88,9,5.522727272727273,1
80.0,87,9,5.517241379310345,1
80.0,86,9,5.5813953488372094,1
76.0,85,9,5.364705882352942,1
75.0,84,9,5.357142857142857,1
75.0,83,9,5.421686746987952,1
74.0,83,9,5.349397590361446,1
73.0,82,9,5.341463414634147,1
73.0,81,9,5.407407407407407,1
73.0,80,9,5.475,1
72.0,79,9,5.468354430379747,1
71.0,78,9,5.461538461538462,1
70.0,77,9,5.454545454545454,1
66.0,76,9,5.210526315789474,1
65.0,75,9,5.2,1
65.0,74,9,5.27027027027027,1
61.0,73,9,5.013698630136987,1
59.0,72,9,4.916666666666667,1
59.0,71,9,4.985915492957746,1
59.0,71,9,4.985915492957746,1
58.0,70,9,4.9714285714285715,1
54.0,69,9,4.695652173913044,1
54.0,68,9,4.764705882352941,1
53.0,67,9,4.746268656716418,1
52.0,66,9,4.7272727272727275,1
52.0,65,9,4.8,1
51.0,64,9,4.78125,1
47.0,63,9,4.476190476190476,1
46.0,62,9,4.451612903225806,1
45.0,61,9,4.426229508196721,1
45.0,60,9,4.5,1
44.0,59,9,4.47457627118644,1
43.0,59,9,4.372881355932203,1
42.0,58,9,4.344827586206897,1
38.0,57,9,4.0,1
37.0,56,9,3.964285714285714,1
36.0,55,9,3.9272727272727277,1
35.0,54,9,3.888888888888889,1
34.0,53,9,3.8490566037735845,1
33.0,52,9,3.807692307692308,1
31.0,51,9,3.6470588235294117,1
30.0,50,9,3.5999999999999996,1
30.0,49,9,3.673469387755102,1
30.0,48,9,3.75,1
29.0,47,9,3.7021276595744683,1
28.0,46,9,3.652173913043478,1
27.0,45,9,3.6,1
26.0,44,9,3.5454545454545454,1
25.0,43,9,3.488372093023256,1
20.0,42,9,2.857142857142857,1
19.0,41,9,2.780487804878049,1
18.0,41,9,2.6341463414634148,1
18.0,40,9,2.6999999999999997,1
17.0,39,9,2.6153846153846154,1
16.0,38,9,2.5263157894736845,1
15.0,37,9,2.4324324324324325,1
15.0,36,9,2.5,1
14.0,35,9,2.4,1
13.0,34,9,2.2941176470588234,1
9.0,33,9,1.6363636363636365,1
7.0,32,9,1.3125,1
3.0,31,9,0.5806451612903225,1
2.0,30,9,0.4,1
2.0,29,9,0.4137931034482759,1
166.0,119,10,8.369747899159664,1
165.0,118,10,8.389830508474576,1
165.0,117,10,8.461538461538462,1
164.0,116,10,8.482758620689655,1
160.0,115,10,8.347826086956522,1
156.0,114,10,8.210526315789474,1
156.0,113,10,8.283185840707965,1
156.0,112,10,8.357142857142856,1
156.0,111,10,8.432432432432432,1
156.0,110,10,8.50909090909091,1
156.0,109,10,8.587155963302752,1
155.0,108,10,8.61111111111111,1
155.0,107,10,8.69158878504673,1
151.0,106,10,8.547169811320755,1
150.0,105,10,8.571428571428571,1
149.0,104,10,8.596153846153847,1
145.0,103,10,8.446601941747572,1
144.0,102,10,8.470588235294118,1
144.0,101,10,8.554455445544555,1
143.0,100,10,8.58,1
142.0,99,10,8.606060606060606,1
141.0,98,10,8.63265306122449,1
140.0,97,10,8.65979381443299,1
139.0,96,10,8.6875,1
135.0,95,10,8.526315789473683,1
134.0,94,10,8.553191489361703,1
130.0,93,10,8.387096774193548,1
130.0,92,10,8.478260869565217,1
129.0,91,10,8.505494505494505,1
129.0,90,10,8.6,1
129.0,89,9,8.696629213483146,1
128.0,89,9,8.629213483146067,1
128.0,88,9,8.727272727272728,1
128.0,87,9,8.827586206896552,1
127.0,86,9,8.86046511627907,1
126.0,85,9,8.894117647058824,1
126.0,84,9,9.0,1
125.0,83,9,9.036144578313253,1
125.0,82,9,9.146341463414634,1
121.0,81,9,8.962962962962964,1
121.0,80,9,9.075,1
121.0,79,9,9.18987341772152,1
120.0,78,9,9.23076923076923,1
118.0,77,9,9.194805194805195,1
117.0,76,9,9.236842105263158,1
116.0,75,9,9.28,1
115.0,74,9,9.324324324324325,1
114.0,73,9,9.36986301369863,1
112.0,72,9,9.333333333333334,1
106.0,71,9,8.957746478873238,1
100.0,70,9,8.571428571428571,1
99.0,69,9,8.608695652173912,1
99.0,68,9,8.735294117647058,1
98.0,67,9,8.776119402985076,1
98.0,66,8,8.909090909090908,1
97.0,65,8,8.953846153846154,1
96.0,65,8,8.86153846153846,1
92.0,64,8,8.625,1
91.0,63,8,8.666666666666666,1
91.0,62,8,8.806451612903226,1
90.0,61,8,8.852459016393443,1
90.0,60,7,9.0,1
89.0,59,7,9.050847457627118,1
88.0,58,7,9.10344827586207,1
